"","EVENT","M","Period","dBe"
"287","3000105",7.66,0.3,-0.950735965417099
"288","3000177",7.38,0.3,-1.05526740720161
"289","4000001",9.12,0.3,-0.884112057300186
"290","4000002",7.36,0.3,0.0996613473610161
"291","4000068",8.29,0.3,-0.0248534361351331
"292","4000094",7.76,0.3,0.187481890934135
"293","4000095",8.26,0.3,-0.126051055210019
"294","4000096",7.65,0.3,0.151809926523648
"295","4000165",6.74,0.3,-0.351630926030476
"296","6000057",8.41,0.3,1.35061220411995
"297","6000079",8.15,0.3,0.0222036671310768
"298","6000149",8.81,0.3,0.35597214922409
"299","6000272",8,0.3,-0.267204117259308
"300","6000323",7.98,0.3,-0.480717986508561
"301","6000338",8.31,0.3,0.0218700281420454
"302","6000339",7.82,0.3,-0.321213531139767
"303","ak0219neiszm",8.2,0.3,0.255832791254379
"304","us10007mn3",7.6,0.3,0.800759183719779
"305","us2000d3km",7.2,0.3,0.782325854102569
"306","us7000asvb",7.8,0.3,0.137515260707712
"307","us7000i9bw",7.6,0.3,0.027476932698869
"308","us7000kg30",7.2,0.3,0.268265246282903
"309","3000105",7.66,0.4,-0.73347137199836
"310","3000177",7.38,0.4,-1.02835967503607
"311","4000001",9.12,0.4,-0.867945950126801
"312","4000002",7.36,0.4,-0.0628012379053229
"313","4000068",8.29,0.4,-0.119603604903596
"314","4000094",7.76,0.4,0.150675961876451
"315","4000095",8.26,0.4,-0.306427386396988
"316","4000096",7.65,0.4,-0.00954467930630411
"317","4000165",6.74,0.4,-0.284484633177148
"318","6000057",8.41,0.4,1.36837563447823
"319","6000079",8.15,0.4,0.0611250724555498
"320","6000149",8.81,0.4,0.414212708161019
"321","6000272",8,0.4,-0.253369084587022
"322","6000323",7.98,0.4,-0.453160143441093
"323","6000338",8.31,0.4,-0.0177169971319676
"324","6000339",7.82,0.4,-0.0666545527570624
"325","ak0219neiszm",8.2,0.4,0.237266914267928
"326","us10007mn3",7.6,0.4,0.785950046432615
"327","us2000d3km",7.2,0.4,0.731965953872194
"328","us7000asvb",7.8,0.4,0.185772525384004
"329","us7000i9bw",7.6,0.4,0.0412791967274275
"330","us7000kg30",7.2,0.4,0.226965645278583
"331","3000105",7.66,0.5,-0.603653195319558
"332","3000177",7.38,0.5,-1.09357684262234
"333","4000001",9.12,0.5,-0.886357121323878
"334","4000002",7.36,0.5,-0.166455835099676
"335","4000068",8.29,0.5,-0.213693584558003
"336","4000094",7.76,0.5,-0.137166194112279
"337","4000095",8.26,0.5,-0.386444305384892
"338","4000096",7.65,0.5,-0.113351963484619
"339","4000165",6.74,0.5,-0.302744008701242
"340","6000057",8.41,0.5,1.37454271872007
"341","6000079",8.15,0.5,0.0456823673682945
"342","6000149",8.81,0.5,0.461535457123393
"343","6000272",8,0.5,-0.237570104503838
"344","6000323",7.98,0.5,-0.426340666644941
"345","6000338",8.31,0.5,0.0034305861378592
"346","6000339",7.82,0.5,0.0672944209504802
"347","ak0219neiszm",8.2,0.5,0.268048590284856
"348","us10007mn3",7.6,0.5,0.924803459562391
"349","us2000d3km",7.2,0.5,0.760629504641679
"350","us7000asvb",7.8,0.5,0.27914053524706
"351","us7000i9bw",7.6,0.5,0.140072698317994
"352","us7000kg30",7.2,0.5,0.242173483401199
"353","3000105",7.66,0.75,-0.38574958898803
"354","3000177",7.38,0.75,-1.19246483261328
"355","4000001",9.12,0.75,-0.908401198486271
"356","4000002",7.36,0.75,-0.32326652190027
"357","4000068",8.29,0.75,-0.375555112396139
"358","4000094",7.76,0.75,-0.274829526378235
"359","4000095",8.26,0.75,-0.359136329620772
"360","4000096",7.65,0.75,-0.0521353881876271
"361","4000165",6.74,0.75,-0.327710144115251
"362","6000057",8.41,0.75,1.43679932331733
"363","6000079",8.15,0.75,0.0621489113548732
"364","6000149",8.81,0.75,0.531343942656938
"365","6000272",8,0.75,-0.346205797011262
"366","6000323",7.98,0.75,-0.402488081073894
"367","6000338",8.31,0.75,-0.118572325203454
"368","6000339",7.82,0.75,0.00755330767789125
"369","ak0219neiszm",8.2,0.75,0.335645439910124
"370","us10007mn3",7.6,0.75,1.0293700461209
"371","us2000d3km",7.2,0.75,0.743906841037807
"372","us7000asvb",7.8,0.75,0.395749667287933
"373","us7000i9bw",7.6,0.75,0.211404295319681
"374","us7000kg30",7.2,0.75,0.312593071291016
"375","3000105",7.66,1,-0.252017115452754
"376","3000177",7.38,1,-1.05121649926389
"377","4000001",9.12,1,-0.894959287802382
"378","4000002",7.36,1,-0.407876800368457
"379","4000068",8.29,1,-0.341019017148507
"380","4000094",7.76,1,-0.376879659580953
"381","4000095",8.26,1,-0.23902544192842
"382","4000096",7.65,1,0.0389150043133352
"383","4000165",6.74,1,-0.406872834010238
"384","6000057",8.41,1,1.27941177437466
"385","6000079",8.15,1,0.0173830029143123
"386","6000149",8.81,1,0.485497862967436
"387","6000272",8,1,-0.260992419821946
"388","6000323",7.98,1,-0.326782208316742
