"","EVENT","M","Period","dBe"
"262","us7000asvb",7.8,0.2,0.301904572726975
"263","us7000i9bw",7.6,0.2,-0.0562869589419403
"264","us7000kg30",7.2,0.2,0.385097500541337
"265","3000105",7.66,0.25,-0.712448578694966
"266","3000177",7.38,0.25,-1.12419195590989
"267","4000001",9.12,0.25,-0.362225943881223
"268","4000002",7.36,0.25,-0.149088300546054
"269","4000068",8.29,0.25,-0.0886211371168497
"270","4000094",7.76,0.25,0.325155627905133
"271","4000095",8.26,0.25,-0.235630057309251
"272","4000096",7.65,0.25,0.109499906791574
"273","4000165",6.74,0.25,-0.336086718558434
"274","6000057",8.41,0.25,0.837178395901546
"275","6000079",8.15,0.25,-0.0837088867863989
"276","6000149",8.81,0.25,0.0249439371050829
"277","6000272",8,0.25,-0.153283010374943
"278","6000323",7.98,0.25,-0.280473069154214
"279","6000338",8.31,0.25,-0.2260141142881
"280","6000339",7.82,0.25,0.124089318348534
"281","ak0219neiszm",8.2,0.25,0.241804516532375
"282","us10007mn3",7.6,0.25,0.80791782935101
"283","us2000d3km",7.2,0.25,0.601944689651095
"284","us7000asvb",7.8,0.25,0.33552781192179
"285","us7000i9bw",7.6,0.25,-0.0369076511171326
"286","us7000kg30",7.2,0.25,0.380617390229327
"287","3000105",7.66,0.3,-0.576789245667399
"288","3000177",7.38,0.3,-1.19275458979486
"289","4000001",9.12,0.3,-0.403514108094921
"290","4000002",7.36,0.3,-0.235228269095025
"291","4000068",8.29,0.3,-0.247292421819182
"292","4000094",7.76,0.3,0.203043150593473
"293","4000095",8.26,0.3,-0.322357650905158
"294","4000096",7.65,0.3,-0.00897432157722371
"295","4000165",6.74,0.3,-0.316394291563261
"296","6000057",8.41,0.3,0.964642553296476
"297","6000079",8.15,0.3,-0.0491392623762497
"298","6000149",8.81,0.3,0.105139189036826
"299","6000272",8,0.3,-0.159277830183197
"300","6000323",7.98,0.3,-0.136725899967589
"301","6000338",8.31,0.3,-0.257041459675286
"302","6000339",7.82,0.3,0.173216888400202
"303","ak0219neiszm",8.2,0.3,0.239182681907957
"304","us10007mn3",7.6,0.3,0.814493475819555
"305","us2000d3km",7.2,0.3,0.632563663024775
"306","us7000asvb",7.8,0.3,0.34286540149154
"307","us7000i9bw",7.6,0.3,-0.000168339109733875
"308","us7000kg30",7.2,0.3,0.430522918739632
"309","3000105",7.66,0.4,-0.398195370868936
"310","3000177",7.38,0.4,-1.20494671411694
"311","4000001",9.12,0.4,-0.412224452672147
"312","4000002",7.36,0.4,-0.346913674798992
"313","4000068",8.29,0.4,-0.321251877328935
"314","4000094",7.76,0.4,0.187586910397925
"315","4000095",8.26,0.4,-0.491660379427501
"316","4000096",7.65,0.4,-0.147055694494788
"317","4000165",6.74,0.4,-0.226606057420885
"318","6000057",8.41,0.4,1.04693181390495
"319","6000079",8.15,0.4,-0.00845449666475229
"320","6000149",8.81,0.4,0.171242551920304
