"","EVENT","M","Period","dBe"
"284","us7000asvb",7.8,0.25,0.16041627504724
"285","us7000i9bw",7.6,0.25,-0.0801926352066339
"286","us7000kg30",7.2,0.25,0.189279074431592
"287","3000105",7.66,0.3,-0.407266221862447
"288","3000177",7.38,0.3,-0.648501231054014
"289","4000001",9.12,0.3,-0.282476966484402
"290","4000002",7.36,0.3,-0.258688739013803
"291","4000068",8.29,0.3,-0.242674551055889
"292","4000094",7.76,0.3,0.178453294244396
"293","4000095",8.26,0.3,-0.244645780421162
"294","4000096",7.65,0.3,0.0995234909643588
"295","4000165",6.74,0.3,-0.171258307246912
"296","6000057",8.41,0.3,0.660402665926954
"297","6000079",8.15,0.3,-0.179608836663948
"298","6000149",8.81,0.3,0.118808648547254
"299","6000272",8,0.3,-0.0229022909825523
"300","6000323",7.98,0.3,-0.143897354689994
"301","6000338",8.31,0.3,-0.0564935123481016
"302","6000339",7.82,0.3,0.135963376725198
"303","ak0219neiszm",8.2,0.3,0.160972234907864
"304","us10007mn3",7.6,0.3,0.62590178979435
"305","us2000d3km",7.2,0.3,0.40462543402717
"306","us7000asvb",7.8,0.3,0.149599277900938
"307","us7000i9bw",7.6,0.3,-0.0594131839987407
"308","us7000kg30",7.2,0.3,0.18359590780389
"309","3000105",7.66,0.4,-0.259968206120319
"310","3000177",7.38,0.4,-0.703324428863316
"311","4000001",9.12,0.4,-0.299473485050018
"312","4000002",7.36,0.4,-0.360669189460401
"313","4000068",8.29,0.4,-0.316009462359655
"314","4000094",7.76,0.4,0.17476131949528
"315","4000095",8.26,0.4,-0.388863048362297
"316","4000096",7.65,0.4,-0.000795587439209842
"317","4000165",6.74,0.4,-0.0905022582776911
"318","6000057",8.41,0.4,0.764200887408108
"319","6000079",8.15,0.4,-0.13989363904139
"320","6000149",8.81,0.4,0.178803123278072
"321","6000272",8,0.4,-0.0234233841726787
"322","6000323",7.98,0.4,-0.163047965870191
"323","6000338",8.31,0.4,-0.0878758007208389
"324","6000339",7.82,0.4,0.327986761883653
"325","ak0219neiszm",8.2,0.4,0.11465429187201
"326","us10007mn3",7.6,0.4,0.620604532410037
"327","us2000d3km",7.2,0.4,0.394017250591147
"328","us7000asvb",7.8,0.4,0.189258919510889
"329","us7000i9bw",7.6,0.4,-0.0490410476663701
"330","us7000kg30",7.2,0.4,0.118600416955179
"331","3000105",7.66,0.5,-0.155034985415879
"332","3000177",7.38,0.5,-0.793939388492519
"333","4000001",9.12,0.5,-0.353800023626252
"334","4000002",7.36,0.5,-0.41646092940945
"335","4000068",8.29,0.5,-0.391617002686013
"336","4000094",7.76,0.5,-0.0589703580689496
"337","4000095",8.26,0.5,-0.475225825244627
"338","4000096",7.65,0.5,-0.0689400614345085
"339","4000165",6.74,0.5,-0.077658072069212
"340","6000057",8.41,0.5,0.837185689614408
"341","6000079",8.15,0.5,-0.137104786513237
"342","6000149",8.81,0.5,0.240099456147443
"343","6000272",8,0.5,-0.00975100983972222
"344","6000323",7.98,0.5,-0.147251670624399
"345","6000338",8.31,0.5,-0.0533574186734855
"346","6000339",7.82,0.5,0.435669566593387
"347","ak0219neiszm",8.2,0.5,0.102377158607249
"348","us10007mn3",7.6,0.5,0.743258053437225
"349","us2000d3km",7.2,0.5,0.421825783997313
"350","us7000asvb",7.8,0.5,0.258489937514224
"351","us7000i9bw",7.6,0.5,0.0169242756293026
"352","us7000kg30",7.2,0.5,0.0832816105577296
"353","3000105",7.66,0.75,0.0153521655954679
"354","3000177",7.38,0.75,-0.909342334925086
"355","4000001",9.12,0.75,-0.419091611857442
"356","4000002",7.36,0.75,-0.501901293033097
"357","4000068",8.29,0.75,-0.532261307408931
"358","4000094",7.76,0.75,-0.16809809773132
"359","4000095",8.26,0.75,-0.45951908647341
"360","4000096",7.65,0.75,-0.0105340482726834
"361","4000165",6.74,0.75,-0.0760127812047723
"362","6000057",8.41,0.75,0.97314762042222
"363","6000079",8.15,0.75,-0.0953694169674196
"364","6000149",8.81,0.75,0.341192483985364
"365","6000272",8,0.75,-0.110807618466095
"366","6000323",7.98,0.75,-0.151780725050886
"367","6000338",8.31,0.75,-0.147752544997914
"368","6000339",7.82,0.75,0.340225305189724
"369","ak0219neiszm",8.2,0.75,0.12297806124828
"370","us10007mn3",7.6,0.75,0.835412356189605
"371","us2000d3km",7.2,0.75,0.42196319973184
"372","us7000asvb",7.8,0.75,0.351094404622969
"373","us7000i9bw",7.6,0.75,0.0720440883405528
"374","us7000kg30",7.2,0.75,0.109061181063008
"375","3000105",7.66,1,0.110189048805158
"376","3000177",7.38,1,-0.774417571072581
"377","4000001",9.12,1,-0.453238932769855
"378","4000002",7.36,1,-0.550721505925945
"379","4000068",8.29,1,-0.475282262084153
"380","4000094",7.76,1,-0.25925389638362
"381","4000095",8.26,1,-0.324129788600888
"382","4000096",7.65,1,0.0697422067343686
"383","4000165",6.74,1,-0.15650850013481
"384","6000057",8.41,1,0.860010062675816
"385","6000079",8.15,1,-0.114738740440216
"386","6000149",8.81,1,0.317884890161299
"387","6000272",8,1,-0.0525148704699702
"388","6000323",7.98,1,-0.0966474294693113
"389","6000338",8.31,1,-0.210662959213269
"390","6000339",7.82,1,0.276034286370387
"391","ak0219neiszm",8.2,1,0.153429391116491
"392","us10007mn3",7.6,1,0.804507723486513
"393","us2000d3km",7.2,1,0.445642611847995
"394","us7000asvb",7.8,1,0.288282424580668
"395","us7000i9bw",7.6,1,0.0974161259510166
"396","us7000kg30",7.2,1,0.0449776848348955
"397","3000105",7.66,1.5,0.0382986023704556
"398","3000177",7.38,1.5,-0.655044280849101
"399","4000001",9.12,1.5,-0.421297951560388
"400","4000002",7.36,1.5,-0.518642694032153
"401","4000068",8.29,1.5,-0.417882025579805
"402","4000094",7.76,1.5,-0.377144839462391
"403","4000095",8.26,1.5,-0.388656587999811
"404","4000096",7.65,1.5,-0.0948827561327999
"405","4000165",6.74,1.5,-0.306308773630063
"406","6000057",8.41,1.5,0.774472502643974
"407","6000079",8.15,1.5,-0.12597048400675
"408","6000149",8.81,1.5,0.200265361043228
"409","6000272",8,1.5,-0.0177317307830273
"410","6000323",7.98,1.5,-0.0843691222437099
"411","6000338",8.31,1.5,-0.274696586163017
"412","6000339",7.82,1.5,0.371589904452083
"413","ak0219neiszm",8.2,1.5,0.345995986924763
"414","us10007mn3",7.6,1.5,0.766202404789622
"415","us2000d3km",7.2,1.5,0.426827423859822
"416","us7000asvb",7.8,1.5,0.353302422124889
"417","us7000i9bw",7.6,1.5,0.307061463058523
"418","us7000kg30",7.2,1.5,0.0986117611756668
"419","3000105",7.66,2,0.110290933337537
"420","3000177",7.38,2,-0.661169501423889
"421","4000001",9.12,2,-0.413933437509674
"422","4000002",7.36,2,-0.475292706243233
"423","4000068",8.29,2,-0.412335103161987
"424","4000094",7.76,2,-0.262298052581684
"425","4000095",8.26,2,-0.321040175465762
"426","4000096",7.65,2,-0.117177424761634
"427","4000165",6.74,2,-0.325493596751171
"428","6000057",8.41,2,0.734451210157754
"429","6000079",8.15,2,-0.17039035033935
"430","6000149",8.81,2,0.160146096959887
"431","6000272",8,2,0.138760073049208
"432","6000323",7.98,2,-0.327168677518942
"433","6000338",8.31,2,-0.199223417925547
"434","6000339",7.82,2,0.325482244862294
"435","ak0219neiszm",8.2,2,0.361615530316049
"436","us10007mn3",7.6,2,0.78785637351453
"437","us2000d3km",7.2,2,0.539849412125428
"438","us7000asvb",7.8,2,0.251837216486869
"439","us7000i9bw",7.6,2,0.324312533454912
"440","us7000kg30",7.2,2,-0.049079180581592
"441","3000105",7.66,2.5,0.0686557053938829
"442","3000177",7.38,2.5,-0.894756202842968
"443","4000001",9.12,2.5,-0.432313499519648
"444","4000002",7.36,2.5,-0.480315749833926
"445","4000068",8.29,2.5,-0.350071578181401
"446","4000094",7.76,2.5,-0.17695828006884
"447","4000095",8.26,2.5,-0.213239345193695
"448","4000096",7.65,2.5,-0.178590601501716
"449","4000165",6.74,2.5,-0.276798797722382
"450","6000057",8.41,2.5,0.898635028904623
"451","6000079",8.15,2.5,-0.257039667880993
"452","6000149",8.81,2.5,0.00716528776891196
"453","6000272",8,2.5,0.203000331690757
"454","6000323",7.98,2.5,-0.414446335796004
"455","6000338",8.31,2.5,-0.179808283278671
"456","6000339",7.82,2.5,0.340801456983002
"457","ak0219neiszm",8.2,2.5,0.380672250174296
"458","us10007mn3",7.6,2.5,0.81389598507238
"459","us2000d3km",7.2,2.5,0.598352262185346
"460","us7000asvb",7.8,2.5,0.242551314487238
"461","us7000i9bw",7.6,2.5,0.347033846884331
"462","us7000kg30",7.2,2.5,-0.046425127724549
"463","3000105",7.66,3,0.0539816661311562
"464","3000177",7.38,3,-0.814318700607528
"465","4000001",9.12,3,-0.500870027557058
"466","4000002",7.36,3,-0.49986089798807
"467","4000068",8.29,3,-0.297138575870469
"468","4000094",7.76,3,-0.161772742907
"469","4000096",7.65,3,-0.265074549994749
"470","4000165",6.74,3,-0.23392145527792
"471","6000057",8.41,3,0.879761989564393
"472","6000079",8.15,3,-0.174426700046383
"473","6000149",8.81,3,-0.0355248195698443
"474","6000272",8,3,0.277528930910994
"475","6000323",7.98,3,-0.445373260548633
"476","6000338",8.31,3,-0.24449817635558
"477","6000339",7.82,3,0.348304258600932
"478","ak0219neiszm",8.2,3,0.392608348405155
"479","us10007mn3",7.6,3,0.774675870764654
"480","us2000d3km",7.2,3,0.570434661830091
"481","us7000asvb",7.8,3,0.186383815344492
"482","us7000i9bw",7.6,3,0.286097808138384
"483","us7000kg30",7.2,3,-0.0969974429670401
"484","3000105",7.66,4,-0.0429577710326081
"485","3000177",7.38,4,-0.738830288692893
"486","4000001",9.12,4,-0.439398617376091
"487","4000002",7.36,4,-0.509546764268452
"488","4000068",8.29,4,-0.227440919919509
"489","4000094",7.76,4,-0.27928959338274
"490","4000096",7.65,4,-0.326259353891015
"491","4000165",6.74,4,-0.304865523245534
"492","6000057",8.41,4,0.894619487011355
"493","6000079",8.15,4,-0.276478038596379
"494","6000149",8.81,4,-0.0354619230404739
"495","6000272",8,4,0.221553881681518
"496","6000323",7.98,4,-0.584033770581117
"497","6000338",8.31,4,-0.220736584508514
"498","6000339",7.82,4,0.217151001700119
"499","ak0219neiszm",8.2,4,0.43328639150915
"500","us10007mn3",7.6,4,0.973896155391184
"501","us2000d3km",7.2,4,0.661969408896969
"502","us7000asvb",7.8,4,0.0928360231152607
"503","us7000i9bw",7.6,4,0.59053301812744
"504","us7000kg30",7.2,4,-0.10054621889766
"505","3000105",7.66,5,-0.0182845766382604
"506","4000001",9.12,5,-0.435499866718852
"507","4000002",7.36,5,-0.527796003577774
"508","4000068",8.29,5,-0.108497118877277
"509","4000094",7.76,5,-0.338995539152603
"510","4000096",7.65,5,-0.40048382965383
"511","4000165",6.74,5,-0.365733002961871
"512","6000057",8.41,5,0.658071501068328
"513","6000079",8.15,5,-0.320584523561961
"514","6000149",8.81,5,-0.0138826300106167
"515","6000272",8,5,0.078861598912907
"516","6000338",8.31,5,-0.249610083277802
"517","6000339",7.82,5,0.263580928547159
"518","ak0219neiszm",8.2,5,0.329823908664342
"519","us10007mn3",7.6,5,0.873246735738481
"520","us2000d3km",7.2,5,0.385695897831368
"521","us7000asvb",7.8,5,-0.138151196658764
"522","us7000i9bw",7.6,5,0.585158953655446
"523","us7000kg30",7.2,5,-0.25692115332843
"524","3000105",7.66,7.5,0.0953585717788482
"525","4000001",9.12,7.5,-0.472442350809334
"526","4000002",7.36,7.5,-0.510103031407033
"527","4000068",8.29,7.5,-0.127603458285556
"528","4000094",7.76,7.5,-0.302584179023769
"529","4000165",6.74,7.5,-0.307301712654348
"530","6000057",8.41,7.5,0.234494784301397
"531","6000079",8.15,7.5,-0.281227734405514
"532","6000149",8.81,7.5,0.177414836831982
"533","6000272",8,7.5,-0.0730893797023408
"534","6000338",8.31,7.5,0.00124632357269157
"535","6000339",7.82,7.5,0.515085145776278
"536","ak0219neiszm",8.2,7.5,0.33953640375599
"537","us10007mn3",7.6,7.5,0.433381675028672
"538","us2000d3km",7.2,7.5,0.203217652766038
"539","us7000asvb",7.8,7.5,-0.204469816732293
"540","us7000i9bw",7.6,7.5,0.393337148480657
"541","us7000kg30",7.2,7.5,-0.114250879272352
"542","3000105",7.66,10,0.00548971669831608
"543","4000001",9.12,10,-0.45360393052674
"544","4000002",7.36,10,-0.142081594666406
"545","4000068",8.29,10,-0.276402750208909
"546","4000094",7.76,10,-0.366280123220877
"547","4000165",6.74,10,-0.337510721478759
"548","6000079",8.15,10,-0.144854181133396
"549","6000149",8.81,10,0.393636582530992
"550","6000272",8,10,-0.211506347911535
"551","6000338",8.31,10,0.15759662548695
"552","6000339",7.82,10,0.785258858928986
"553","ak0219neiszm",8.2,10,0.224758958682141
"554","us10007mn3",7.6,10,0.529458076350876
"555","us2000d3km",7.2,10,0.213105007437919
"556","us7000asvb",7.8,10,-0.305125912046627
"557","us7000kg30",7.2,10,-0.0721256793272802
